,time_stamp,id,age,gender,word,keypress,reaction_time
0,2024-02-17_22h41.19.393,0,,Female,chemistry,,1.7499987734481692e-06
1,2024-02-17_22h41.19.393,0,,Female,river,,1.4160032151266932e-06
2,2024-02-17_22h41.19.393,0,,Female,library,,1.5840050764381886e-06
3,2024-02-17_22h41.19.393,0,,Female,project,,1.2920063454657793e-06
4,2024-02-17_22h41.19.393,0,,Female,quiz,,1.2500095181167126e-06
5,2024-02-17_22h41.19.393,0,,Female,smile,,1.3329990906640887e-06
6,2024-02-17_22h41.19.393,0,,Female,laugh,,1.291991793550551e-06
7,2024-02-17_22h41.19.393,0,,Female,guitar,,1.3749959180131555e-06
8,2024-02-17_22h41.19.393,0,,Female,bridge,,1.2500095181167126e-06
9,2024-02-17_22h41.19.393,0,,Female,sleep,,1.3329990906640887e-06
10,2024-02-17_22h41.19.393,0,,Female,fieldtrip,,1.2499949662014842e-06
11,2024-02-17_22h41.19.393,0,,Female,clock,,1.2909877113997936e-06
12,2024-02-17_22h41.19.393,0,,Female,algebra,,1.2499949662014842e-06
13,2024-02-17_22h41.19.393,0,,Female,history,,1.3329990906640887e-06
14,2024-02-17_22h41.19.393,0,,Female,sun,,1.2499949662014842e-06
15,2024-02-17_22h41.19.393,0,,Female,apple,,1.291991793550551e-06
16,2024-02-17_22h41.19.393,0,,Female,story,,1.2079981388524175e-06
17,2024-02-17_22h41.19.393,0,,Female,notebook,,1.291002263315022e-06
18,2024-02-17_22h41.19.393,0,,Female,ocean,,1.2499949662014842e-06
19,2024-02-17_22h41.19.393,0,,Female,desk,,1.2920063454657793e-06
20,2024-02-17_22h41.19.393,0,,Female,language,,1.2500095181167126e-06
21,2024-02-17_22h41.19.393,0,,Female,flower,,1.4999968698248267e-06
22,2024-02-17_22h41.19.393,0,,Female,teacher,,1.2500095181167126e-06
23,2024-02-17_22h41.19.393,0,,Female,hat,,1.291991793550551e-06
24,2024-02-17_22h41.19.393,0,,Female,uniform,,1.2499949662014842e-06
25,2024-02-17_22h41.19.393,0,,Female,moon,,1.291991793550551e-06
26,2024-02-17_22h41.19.393,0,,Female,textbook,,1.291991793550551e-06
